,int,int_label,has_participant,participant_label,has_dissociation_constant,dissociation_constant_value,dissociation_constant_error,is_confirmed_by,is_outcome_of
2110,http://rdf.freebase.com/ns/m.0gl585_,14624002-MBGT-Interaction-3,http://rdf.freebase.com/ns/m.0gl591w,14624002-MBGT-16,http://rdf.freebase.com/ns/m.0gl594s,3.3e-05,,http://rdf.freebase.com/ns/m.0gl5935,http://rdf.freebase.com/ns/m.0gl584h
2111,http://rdf.freebase.com/ns/m.0gl585_,14624002-MBGT-Interaction-3,http://rdf.freebase.com/ns/m.0gl5923,14624002-MBGT-19,http://rdf.freebase.com/ns/m.0gl594s,3.3e-05,,http://rdf.freebase.com/ns/m.0gl5935,http://rdf.freebase.com/ns/m.0gl584h
2112,http://rdf.freebase.com/ns/m.0gl585_,14624002-MBGT-Interaction-3,http://rdf.freebase.com/ns/m.0gl592c,14624002-MBGT-14,http://rdf.freebase.com/ns/m.0gl594s,3.3e-05,,http://rdf.freebase.com/ns/m.0gl5935,http://rdf.freebase.com/ns/m.0gl584h
2113,http://rdf.freebase.com/ns/m.0gl585s,14624002-MBGT-Interaction-2,http://rdf.freebase.com/ns/m.0gl58m9,morpholine based GTP,http://rdf.freebase.com/ns/m.0gl58vz,2e-05,,http://rdf.freebase.com/ns/m.0gl58vq,http://rdf.freebase.com/ns/m.0gl584h
2114,http://rdf.freebase.com/ns/m.0gl585s,14624002-MBGT-Interaction-2,http://rdf.freebase.com/ns/m.0gl58tp,14624002-MBGT-8,http://rdf.freebase.com/ns/m.0gl58vz,2e-05,,http://rdf.freebase.com/ns/m.0gl58vq,http://rdf.freebase.com/ns/m.0gl584h
2115,http://rdf.freebase.com/ns/m.0gl585s,14624002-MBGT-Interaction-2,http://rdf.freebase.com/ns/m.0gl58ty,14624002-MBGT-7,http://rdf.freebase.com/ns/m.0gl58vz,2e-05,,http://rdf.freebase.com/ns/m.0gl58vq,http://rdf.freebase.com/ns/m.0gl584h
2116,http://rdf.freebase.com/ns/m.0gl585s,14624002-MBGT-Interaction-2,http://rdf.freebase.com/ns/m.0gl58v5,14624002-MBGT-9,http://rdf.freebase.com/ns/m.0gl58vz,2e-05,,http://rdf.freebase.com/ns/m.0gl58vq,http://rdf.freebase.com/ns/m.0gl584h
2117,http://rdf.freebase.com/ns/m.0gl585s,14624002-MBGT-Interaction-2,http://rdf.freebase.com/ns/m.0gl58vf,14624002-MBGT-6,http://rdf.freebase.com/ns/m.0gl58vz,2e-05,,http://rdf.freebase.com/ns/m.0gl58vq,http://rdf.freebase.com/ns/m.0gl584h
2118,http://rdf.freebase.com/ns/m.0gl5866,14624002-MBGT-Interaction-1,http://rdf.freebase.com/ns/m.0gl58lk,14624002-MBGT-5,http://rdf.freebase.com/ns/m.0gl58n9,2e-05,,http://rdf.freebase.com/ns/m.0gl58n1,http://rdf.freebase.com/ns/m.0gl584h
2119,http://rdf.freebase.com/ns/m.0gl5866,14624002-MBGT-Interaction-1,http://rdf.freebase.com/ns/m.0gl58lt,14624002-MBGT-4,http://rdf.freebase.com/ns/m.0gl58n9,2e-05,,http://rdf.freebase.com/ns/m.0gl58n1,http://rdf.freebase.com/ns/m.0gl584h
2120,http://rdf.freebase.com/ns/m.0gl5866,14624002-MBGT-Interaction-1,http://rdf.freebase.com/ns/m.0gl58m1,14624002-MBGT-1,http://rdf.freebase.com/ns/m.0gl58n9,2e-05,,http://rdf.freebase.com/ns/m.0gl58n1,http://rdf.freebase.com/ns/m.0gl584h
2121,http://rdf.freebase.com/ns/m.0gl5866,14624002-MBGT-Interaction-1,http://rdf.freebase.com/ns/m.0gl58m9,morpholine based GTP,http://rdf.freebase.com/ns/m.0gl58n9,2e-05,,http://rdf.freebase.com/ns/m.0gl58n1,http://rdf.freebase.com/ns/m.0gl584h
2122,http://rdf.freebase.com/ns/m.0gl5866,14624002-MBGT-Interaction-1,http://rdf.freebase.com/ns/m.0gl58mk,14624002-MBGT-2,http://rdf.freebase.com/ns/m.0gl58n9,2e-05,,http://rdf.freebase.com/ns/m.0gl58n1,http://rdf.freebase.com/ns/m.0gl584h
2123,http://rdf.freebase.com/ns/m.0gl5866,14624002-MBGT-Interaction-1,http://rdf.freebase.com/ns/m.0gl58mt,14624002-MBGT-3,http://rdf.freebase.com/ns/m.0gl58n9,2e-05,,http://rdf.freebase.com/ns/m.0gl58n1,http://rdf.freebase.com/ns/m.0gl584h
2124,http://rdf.freebase.com/ns/m.0gl5bfk,10881199-GlnRS-Interaction-2,http://rdf.freebase.com/ns/m.0gl5brc,10881199-GlnRS-2,http://rdf.freebase.com/ns/m.0gl5brx,1.3e-10,,http://rdf.freebase.com/ns/m.0gl5brn,http://rdf.freebase.com/ns/m.0gl5bd5
2125,http://rdf.freebase.com/ns/m.0gl5bfs,10881199-GlnRS-Interaction-1,http://rdf.freebase.com/ns/m.0gl5bmj,10881199-GlnRS-1,http://rdf.freebase.com/ns/m.0gl5bn0,2.7e-10,,http://rdf.freebase.com/ns/m.0gl5bms,http://rdf.freebase.com/ns/m.0gl5bd5
2126,http://rdf.freebase.com/ns/m.0glg__m,12692304-Ang2-Interaction-2,http://rdf.freebase.com/ns/m.0glh073,12692304-Ang2-Ma-1,http://rdf.freebase.com/ns/m.0glh09m,2.2e-09,,http://rdf.freebase.com/ns/m.0glh061,http://rdf.freebase.com/ns/m.0glg_yl
